"docid" "Reference"
"56c1cfeecf58f15c72c90692" "NELSON, CAMPBELL S., 1978, Temperate shelf carbonate sediments in the Cenozoic of New Zealand, Sedimentology, 25, 6, 737--771, 10.1111/j.1365-3091.1978.tb00328.x"
"55087dc1e138237a6f73910e" "Presser, Theresa S.; Swain, Walter C., 1990, Geochemical evidence for Se mobilization by the weathering of pyritic shale, San Joaquin Valley, California, U.S.A., Applied Geochemistry, 5, 5-6, 703--717, 10.1016/0883-2927(90)90066-E"
"55b6e1b1e13823bd29ba7e0e" "Earhart, Robert L.; Grimes, D. J.; Leinz, R. W.; Marks, L. Y.; Peterson, D. L., 1977, Mineral resources of the proposed additions to the Scapegoat Wilderness, Powell and Lewis and Clark counties, Montana, with a section on geophysical surveys, Bulletin, , , , "
"57f924facf58f12eaed35f22" "KEAR, BENJAMIN P., 2006, Marine reptiles from the Lower Cretaceous of South Australia: elements of a high-latitude cold-water assemblage, Palaeontology, 49, 4, 837--856, 10.1111/j.1475-4983.2006.00569.x"
"57302639cf58f14f054bbff7" "M. Raymond Buyce (3); Gerald M. Fri, 1975, Significance of Authigenic K-feldspar in Cambrian-Ordovician Carbonate Rocks of the Proto-atlantic Shelf In North America, SEPM Journal of Sedimentary Research, Vol. 45, , , 10.1306/212f6e51-2b24-11d7-8648000102c1865d"
"5d4fe7eb0b45c76cafa4688f" "Corvalan D., Jose; Guild, Philip W.; Piper, David Z.; Swint-Iki, Theresa R.; McCoy, Floyd W.; Sullivan, Lawrence G.; Manheim, Frank T.; Lane-Bostwick, Candice M.; Luepke, Gretchen, 1996, Mineral-resources map of the Circum-Pacific region, southeast quadrant, Circum-Pacific Map, , , , 10.3133/cp44"
"57ec31cbcf58f1b5011c19d1" "MCBRIDE, EARLE F.; MILLIKEN, KITTY L., 2006, Giant calcite-cemented concretions, Dakota Formation, central Kansas, USA, Sedimentology, 53, 5, 1161--1179, 10.1111/j.1365-3091.2006.00813.x"
"54b79935e138230a74d159f3" "Huggett, J.M.; Gale, A.S., 1998, Petrography and diagenesis of the Thames Group at Whitecliff Bay, Isle of Wight, UK, Proceedings of the Geologists' Association, 109, 2, 99--113, 10.1016/S0016-7878(98)80010-2"
"58bca6cccf58f1417a41c13d" "LIANG, Feng; BAI, Wenhua; ZOU, Caineng; WANG, Hongyan; WU, Jin; MA, Chao; ZHANG, Qin; GUO, Wei; SUN, Shasha; ZHU, Yanming; CUI, Huiying; LIU, Dexun, 2016, Shale gas enrichment pattern and exploration significance of Well WuXi-2 in northeast Chongqing, NE Sichuan Basin, Petroleum Exploration and Development, 43, 3, 386--394, 10.1016/S1876-3804(16)30045-3"
"586bc126cf58f182f5b561f6" "Ahm, Anne-Sofie C.; Bjerrum, Christian J.; Hammarlund, Emma U., 2017, Disentangling the record of diagenesis, local redox conditions, and global seawater chemistry during the latest Ordovician glaciation, Earth and Planetary Science Letters, , , 145--156, 10.1016/j.epsl.2016.09.049"
"559e58a2e138230816dadbe2" "Bliss, J.D., 1999, Preliminary mineral resource assessment of selected industrial and collector minerals of the Prescott National Forest, Arizona, Open-File Report, , , , 10.3133/ofr99305"
"58d27c06cf58f121bb4ff558" "Speyer, Stephen E., 1987, Comparative taphonomy and palaeoecology of trilobite lagerstätten, Alcheringa: An Australasian Journal of Palaeontology, 11, 3, 205--232, 10.1080/03115518708618989"
"55c4bca8cf58f1a8110b9598" "Chappaz, Anthony; Lyons, Timothy W.; Gregory, Daniel D.; Reinhard, Christopher T.; Gill, Benjamin C.; Li, Chao; Large, Ross R., 2014, Does pyrite act as an important host for molybdenum in modern and ancient euxinic sediments?, Geochimica et Cosmochimica Acta, , , 112--122, 10.1016/j.gca.2013.10.028"
"5d4feed20b45c76cafa46974" "Wierl, J.A.; Rappold, K.F.; Amerson, F.U., 1996, Summary of the land-use inventory for the nonpoint-source evaluation monitoring watersheds in Wisconsin, Open-File Report, , , , 10.3133/ofr96123"
"5d4feed20b45c76cafa46977" "Torres, L.A.; Lambert, S.C.; Liebermann, T.D., 1995, Real-Time Mapping alert system; characteristics and capabilities, Open-File Report, , , , 10.3133/ofr95375"
"5d4feed20b45c76cafa46971" "Turner, A.K.; D'Agnese, F. A.; Faunt, C.C., 1996, Digital hydrographic, land use/land cover, and hydrologic unit boundary files for the Death Valley region of southern Nevada and southeastern California processed from U.S. Geological Survey 1:100,000- and 1:250,000-scale digital data files, Open-File Report, , , , 10.3133/ofr95362"
"5d4feed20b45c76cafa46970" "Turner, A.K.; D'Agnese, F. A.; Faunt, Claudia C., 1996, Digital elevation model (DEM) file of topographic elevations for the Death Valley region of southern Nevada and southeastern California processed from U.S. Geological Survey 1-degree Digital Elevation Model data files, Open-File Report, , , , 10.3133/ofr95287"
"5d4feed20b45c76cafa46973" "Weiskel, P.K.; DeSimone, L.A.; Howes, B.L., 1996, A nitrogen-rich septage-effluent plume in a coastal aquifer, marsh, and creek system, Orleans, Massachusetts; project summary, 1988-95, Open-File Report, , , , 10.3133/ofr96111"
"5d4feed20b45c76cafa46972" "Wald, L.A.; Hauksson, Egill, 1996, The Southern California Network Bulletin; January-December 1995, Open-File Report, , , , 10.3133/ofr9629"
"5d4feed20b45c76cafa46978" "Yamashita, K.M.; Wieprecht, D.E., 1995, Bench mark descriptions and photographs for global positioning system (GPS) stations in the vicinity of Mt. Shasta and Medicine Lake, California, Open-File Report, , , , 10.3133/ofr95811"
"5d4feed20b45c76cafa4697a" "Moore, Thomas E.; Dumoulin, Julie A., 1996, Geologic studies in Alaska by the U.S. Geological Survey, 1994, Bulletin, , , , 10.3133/b2152"
"568311e3cf58f1479a0ab96e" "ULLYOTT, J. STEWART; NASH, DAVID J., 2006, Micromorphology and geochemistry of groundwater silcretes in the eastern South Downs, UK, Sedimentology, 53, 2, 387--412, 10.1111/j.1365-3091.2005.00762.x"
"54b4328be138239d868556df" "Dypvik, Henning; Nesteby, Helge, 1992, The diagenesis of continental (Karoo-Tertiary?) siliciclastics from an East African rift valley (Rukwa-Tukuyu area), Tanzania, Sedimentary Geology, 78, 3-4, 251--266, 10.1016/0037-0738(92)90023-K"
"54b4328be138239d868556de" "Poppe, L.J.; Poag, C.W.; Stanton, R.W., 1992, Mid-Mesozoic (Mid-Jurassic to Early Cretaceous) evolution of the Georges Bank Basin, U.S. North Atlantic outer continental shelf: Sedimentology of the Conoco 145-1 well, Sedimentary Geology, 75, 3-4, 171--192, 10.1016/0037-0738(92)90091-5"
"57f92620cf58f12f14d4337f" "MENON, FEDERICA; MAKARKIN, VLADIMIR N., 2008, NEW FOSSIL LACEWINGS AND ANTLIONS (INSECTA, NEUROPTERA) FROM THE LOWER CRETACEOUS CRATO FORMATION OF BRAZIL, Palaeontology, 51, 1, 149--162, 10.1111/j.1475-4983.2007.00740.x"
"5d4cf08c0b45c76cafa4101e" "Friedman, 2019, Early Paleozoic post-breakup magmatism along the Cordilleran margin of western North America: New zircon U-Pb age and whole‑rock Nd- and Hf-isotope and lithogeochemical results from the Kechika group, Yukon, Canada, Geosphere, , , , 10.1130/ges02044.1"
"5598dcd5e1382390cc640fab" "Benkó, Zsolt; Mogessie, Aberra; Molnár, Ferenc; Krenn, Kurt; Poulson, Simon R.; Hauck, Steven; Severson, Mark; Arehart, Greg B., 2015, Hydrothermal alteration and Cu–Ni–PGE mobilization in the charnockitic rocks of the footwall of the South Kawishiwi intrusion, Duluth Complex, USA, Ore Geology Reviews, , , 170--188, 10.1016/j.oregeorev.2014.11.010"
"57475116cf58f1b797e9d27f" "Czurda, K.; Winder, C. G.; Quigley, R. M., 1973, Sedimentology, Mineral Facies, and Petrofabric of the Meaford–Dundas Formation (Upper Ordovician) in Southern Ontario, Canadian Journal of Earth Sciences, 10, 12, 1790--1804, 10.1139/e73-175"
"58cdd82dcf58f123ecac37d7" "Hao, Chunbo; Wang, Lihua; Dong, Hailiang; Zhang, Hongxun, 2010, Succession of Acidophilic Bacterial Community During Bio-oxidation of Refractory Gold-Containing Sulfides, Geomicrobiology Journal, 27, 8, 683--691, 10.1080/01490450903559989"
"559c08c8e138230816dad1d9" "Reynolds, Richard L.; Rosenbaum, J.G.; Sweetkind, D.S.; Lanphere, M.A.; Rice, C.A.; Tuttle, M.L., 2001, Rock magnetic studies of the Oligocene Creede Formation and prospects for a polarity stratigraphy, Open-File Report, , , , 10.3133/ofr94260M"
"54b67d1be138230a74d15536" "Zell, Patrick; Beckmann, Seija; Stinnesbeck, Wolfgang, 2014, Age and depositional conditions of the marine vertebrate concentration Lagerstätte at Gomez Farías, southern Coahuila, Mexico, Journal of South American Earth Sciences, , , 91--109, 10.1016/j.jsames.2014.08.009"
"55a4c8f4e13823757cc6f323" "Dames & Moore, 1979, Coal resource occurrence and coal development potential maps of the Kirtland SE Quadrangle, San Juan County, New Mexico, Open-File Report, , , , 10.3133/ofr79802"
"5900c421cf58f162d39c2710" "Van kranendonk, M. J.; Altermann, W.; Mazumder, R., 2015, A squall by the seashore ca 2.3 billion years ago: Raindrop imprints in a Paleoproterozoic tidal flat deposit, Kungarra Formation, Western Australia, Australian Journal of Earth Sciences, , , 1--10, 10.1080/08120099.2015.1016105"
"55c0078fcf58f16e99a3726b" "Komor, Stephen C., 1994, Geochemistry and hydrology of a calcareous fen within the Savage Fen wetlands complex, Minnesota, USA, Geochimica et Cosmochimica Acta, 58, 16, 3353--3367, 10.1016/0016-7037(94)90091-4"
"54b43272e138239d86851171" "Pirajno, Franco, 2004, Metallogeny in the Capricorn Orogen, Western Australia, the result of multiple ore-forming processes, Precambrian Research, 128, 3-4, 411--439, 10.1016/j.precamres.2003.09.010"
"589e5b21cf58f1a41cb509be" "Cheng, G., 2016, An experimental investigation of hard-to-float fine coal, Energy Sources, Part A: Recovery, Utilization, and Environmental Effects, 38, 14, 2018--2023, 10.1080/15567036.2015.1014978"
"571152e0cf58f1974a566bdf" "Murillo-Muneton, G.; Dorobek, S. L., 2003, Controls on the Evolution of Carbonate Mud Mounds in the Lower Cretaceous Cupido Formation, Northeastern Mexico, Journal of Sedimentary Research, 73, 6, 869--886, 10.1306/043003730869"
"5715031dcf58f15e1d406874" "ROSEMOND, A.D.; REICE, S.R.; ELWOOD, J.W.; MULHOLLAND, P.J., 1992, The effects of stream acidity on benthic invertebrate communities in the south-eastern United States, Freshwater Biology, 27, 2, 193--209, 10.1111/j.1365-2427.1992.tb00533.x"
"55927cc1e138236ee2218013" "Scott, K.M., 1986, Sulphide geochemistry and wall rock alteration as a guide to mineralization, mammoth area, NW Queensland, Australia, Journal of Geochemical Exploration, 25, 3, 283--308, 10.1016/0375-6742(86)90081-6"
"5c342ec61faed655488be68b" "Criddle, A.J., NA, A Preliminary Description of Microcrystalline Pyrite from the Nannoplankton Ooze at Site 251, Southwest Indian Ocean, Initial Reports of the Deep Sea Drilling Project, 26, , , 10.2973/dsdp.proc.26.126.1974"
"55b2eec8e138231cbdd6cf1d" "Sims, P. K.; Carter, L. M. H., 1996, Archean and Proterozoic geology of the Lake Superior region, U.S.A., 1993, Professional Paper, , , , "
"54c71615e13823b607fd37c2" "Franceschelli, M.; Puxeddu, M.; Carcangiu, G.; Gattiglio, M.; Pannuti, F., 1996, Breccia-hosted manganese-rich minerals of Alpi Apuane, Italy: A marine, redox-generated deposit, Lithos, 37, 4, 309--333, 10.1016/0024-4937(95)00026-7"
"55c75098cf58f1a8110ba05c" "Douglas, G.B.; Trefry, M.G.; Wylie, J.T.; Wilkes, P.G.; Puzon, G.J.; Kaksonen, A.H., 2015, Potential biogeochemical impacts of heat rejection in the Mullaloo aquifer, Western Australia, Geothermics, , , 429--445, 10.1016/j.geothermics.2014.08.004"
"5c6292731faed65548959736" "Pates, Stephen; Daley, Allison C.; Lieberman, Bruce S., 2018, Hurdiid radiodontans from the middle Cambrian (Series 3) of Utah, Journal of Paleontology, 92, 01, 99--113, 10.1017/jpa.2017.11"
"5783c6ffcf58f18343f2fae1" "EUGSTER, HANS P.; HARDIE, LAWRENCE A., 1975, Sedimentation in an Ancient Playa-Lake Complex: The Wilkins Peak Member of the Green River Formation of Wyoming, Geol Soc America Bull, 86, 3, 319, 10.1130/0016-7606(1975)86<319:siaapc>2.0.co;2"
"55a62772e13823757cc6f8e9" "Madden, D.J.; Arbogast, B.F.; O'Leary, R. M.; VanTrump, George; Silberman, M.L., 1988, Analytical results, statistical analyses, and sample-locality maps of rocks from the Anchorage Quadrangle, southern Alaska, Open-File Report, , , , 10.3133/ofr88240"
"5c6292731faed6554895973e" "Shaw, Frederick C.; Lespérance, Pierre J., 1994, North American biogeography and taxonomy of Cryptolithus (Trilobita, Ordovician), Journal of Paleontology, 68, 04, 808--823, 10.1017/S0022336000026251"
"56fb333dcf58f180c54dfde7" "Goovaerts, P.; AvRuskin, G.; Meliker, J.; Slotnick, M.; Jacquez, G.; Nriagu, J., 2005, Geostatistical modeling of the spatial variability of arsenic in groundwater of southeast Michigan, Water Resources Research, 41, 7, n/a--n/a, 10.1029/2004WR003705"
"55b8403de13823bd29ba866a" "Steven, Thomas August; Bieniewski, Carl L.; Eaton, Gordon P., 1977, Mineral resources of the La Garita Wilderness, San Juan Mountains, southwestern Colorado, with a section on geophysical interpretation, Bulletin, , , , "
"57a26f44cf58f1523f7d5ed7" "Johnson, Jena E.; Gerpheide, Aya; Lamb, Michael P.; Fischer, Woodward W., 2014,  O 2 constraints from Paleoproterozoic detrital pyrite and uraninite , Geological Society of America Bulletin, 126, 5-6, 813--830, 10.1130/b30949.1"
"55099cb3e138238460c4f9a9" "Peters, Stephen C.; Burkert, Lori, 2008, The occurrence and geochemistry of arsenic in groundwaters of the Newark basin of Pennsylvania, Applied Geochemistry, 23, 1, 85--98, 10.1016/j.apgeochem.2007.10.008"
"5d24d04b0b45c76caf920c00" "Hansen, W.R., 1986, Neogene tectonics and geomorphology of the eastern Uinta Mountains in Utah, Colorado, and Wyoming, Professional Paper, , , , 10.3133/pp1356"
"55b3c29be138231cbdd6d3a2" "Ross, Donald Clarence, 1966, Stratigraphy of some Paleozoic formations in the Independence quadrangle, Inyo County, California, Professional Paper, , , , 10.3133/pp396"
"55c0cdf1cf58f16e99a3788c" "Pratt, Lisa M.; Summons, Roger E.; Hieshima, Glenn B., 1991, Sterane and triterpane biomarkers in the Precambrian Nonesuch Formation, North American Midcontinent Rift, Geochimica et Cosmochimica Acta, 55, 3, 911--916, 10.1016/0016-7037(91)90351-5"
