,framboids,nodules,undif,seds,Age
700,4,4,37,318,2111
701,4,4,37,317,2121
702,4,4,36,317,2131
703,4,4,36,317,2141
704,4,4,36,317,2151
705,4,4,36,316,2161
706,4,4,36,315,2171
707,4,4,36,315,2181
708,4,4,39,321,2191
709,4,4,39,329,2201
710,4,4,57,339,2211
711,4,4,40,321,2221
712,4,4,42,330,2231
713,4,4,47,327,2241
714,4,8,42,326,2251
715,4,4,42,322,2261
716,4,4,50,328,2271
717,4,4,42,320,2281
718,5,8,51,331,2291
719,5,8,50,331,2301
720,5,8,50,331,2311
721,5,8,50,331,2321
722,5,8,50,331,2331
723,5,8,46,323,2341
724,5,8,46,322,2351
725,5,8,46,322,2361
726,5,8,46,322,2371
727,5,8,46,321,2381
728,5,8,46,321,2391
729,5,8,46,321,2401
730,5,8,46,321,2411
731,5,8,46,321,2421
732,5,8,46,320,2431
733,5,8,46,320,2441
734,5,8,46,320,2451
735,5,8,46,320,2461
736,5,8,43,318,2471
737,5,8,43,317,2481
738,0,9,26,159,2491
739,0,9,26,159,2501
740,0,9,26,159,2511
741,0,9,26,159,2521
742,0,9,26,159,2531
743,0,9,26,160,2541
744,0,9,30,165,2551
745,0,9,30,165,2561
746,0,9,32,168,2571
747,0,9,33,169,2581
748,0,9,33,168,2591
749,0,9,33,168,2601
750,0,9,34,168,2611
751,0,9,34,170,2621
752,0,9,34,170,2631
753,0,9,32,170,2641
754,0,9,32,170,2651
755,0,9,32,169,2661
756,0,9,34,175,2671
757,0,9,34,173,2681
758,0,9,34,175,2691
759,0,11,30,173,2701
760,0,11,34,176,2711
761,0,11,29,171,2721
762,0,11,27,175,2731
763,0,11,26,174,2741
764,0,11,26,175,2751
765,0,11,26,176,2761
766,0,11,26,175,2771
767,0,11,26,175,2781
768,0,2,18,126,2791
769,0,2,18,126,2801
770,0,1,18,126,2811
771,0,1,18,126,2821
772,0,0,18,126,2831
773,0,0,18,126,2841
774,0,0,18,126,2851
775,0,0,18,125,2861
776,0,0,18,117,2871
777,0,0,18,116,2881
778,0,0,18,117,2891
779,0,0,18,116,2901
780,0,0,18,113,2911
781,0,0,18,113,2921
782,0,0,18,113,2931
783,0,0,18,112,2941
784,0,0,18,112,2951
785,0,0,18,112,2961
786,0,0,18,112,2971
787,0,0,18,112,2981
788,0,0,17,111,2991
789,0,0,17,111,3001
790,0,0,17,111,3011
791,0,0,17,111,3021
792,0,0,17,111,3031
793,0,0,17,111,3041
794,0,0,17,111,3051
795,0,0,17,111,3061
796,0,0,17,111,3071
797,0,0,17,111,3081
798,0,0,17,111,3091
799,0,0,17,111,3101
800,0,0,17,111,3111
801,0,0,17,111,3121
802,0,0,17,110,3131
803,0,0,17,110,3141
804,0,0,17,110,3151
805,0,0,17,110,3161
806,0,0,17,110,3171
807,0,0,17,110,3181
808,1,1,21,110,3191
809,1,1,21,110,3201
810,1,1,21,110,3211
811,1,1,21,110,3221
812,1,1,21,110,3231
813,1,1,21,110,3241
814,1,1,21,110,3251
815,1,1,21,110,3261
816,1,1,21,110,3271
817,1,1,21,110,3281
818,1,1,21,110,3291
819,1,1,21,110,3301
820,1,1,21,110,3311
821,1,1,21,110,3321
822,1,1,21,110,3331
823,1,1,21,110,3341
824,1,1,21,110,3351
825,1,1,21,110,3361
826,1,1,21,110,3371
827,1,1,21,110,3381
828,1,1,21,110,3391
829,1,1,21,110,3401
830,1,1,21,110,3411
831,1,1,21,110,3421
832,1,1,21,111,3431
833,1,1,21,111,3441
834,1,1,21,112,3451
835,1,1,21,112,3461
836,1,1,21,112,3471
837,1,1,21,112,3481
838,1,1,21,112,3491
839,1,1,21,112,3501
840,1,1,21,112,3511
841,1,1,21,112,3521
842,1,1,21,112,3531
843,1,1,21,112,3541
844,1,1,21,112,3551
845,1,1,21,112,3561
846,1,1,21,112,3571
847,1,1,21,112,3581
848,0,0,11,79,3591
849,0,0,11,79,3601
850,0,0,12,79,3611
851,0,0,12,79,3621
852,0,0,12,79,3631
853,0,0,12,79,3641
854,0,0,12,79,3651
855,0,0,12,79,3661
856,0,0,13,79,3671
857,0,0,13,79,3681
858,0,0,13,79,3691
859,0,0,13,79,3701
860,0,0,13,79,3711
861,0,0,13,79,3721
862,0,0,13,79,3731
863,0,0,13,79,3741
864,0,0,13,79,3751
865,0,0,13,79,3761
866,0,0,13,79,3771
867,0,0,13,79,3781
868,0,0,13,79,3791
869,0,0,13,79,3801
870,0,0,13,79,3811
871,0,0,13,79,3821
872,0,0,13,79,3831
873,0,0,13,79,3841
874,0,0,13,79,3851
875,0,0,13,79,3861
876,0,0,13,79,3871
877,0,0,12,78,3881
878,0,0,12,78,3891
879,0,0,11,77,3901
880,0,0,11,77,3911
881,0,0,11,77,3921
882,0,0,11,77,3931
883,0,0,11,77,3941
884,0,0,11,77,3951
885,0,0,11,77,3961
886,0,0,11,77,3971
887,0,0,11,77,3981
888,0,0,0,2,3991
889,4,0,41,366,4001
